COUNTY,STATE,YEAR,ZHVI,WFIR_AFREQ,WFIR_EXPT,WFIR_RISKS
Travis County,TX,2020,375613.188784066,0.000683602372099,273162830725.60327,14.246783092186917
Cuyahoga County,OH,2020,138172.4767181743,1.08968058e-07,0.0,0.0
Allegheny County,PA,2020,168844.4194351067,1.372450382e-06,637074940.0952251,0.530203539680818
Salt Lake County,UT,2020,388950.6430151577,0.002908043968137,173546050813.3764,18.31720641309026
Contra Costa County,CA,2020,640926.5492301885,0.003239503237616,191458648963.9856,22.365865806330685
Fairfax County,VA,2020,579098.2501523807,8.0182192258e-05,1297964416.5653677,0.413966957027521
Wake County,NC,2020,322830.33934664546,4.7954857047e-05,21793128837.63503,2.575823174220719
Mecklenburg County,NC,2020,272082.1917295117,4.4312486877e-05,6837491919.942164,2.341569557186439
Montgomery County,MD,2020,497735.8952940455,9.1036362346e-05,1611576528.4761617,0.993291785172662
Fulton County,GA,2020,310538.72638329025,4.9118096086e-05,4856788229.356508,1.809886667895526
Collin County,TX,2020,337591.95073953626,0.000314448165398,106756710006.95952,4.318870588723414
Pima County,AZ,2020,237705.31430976183,0.002732598061771,965668364326.3496,56.48131391675247
Honolulu County,HI,2020,672011.9344826484,0.0,0.0,0.0
Fresno County,CA,2020,280983.7414001801,0.002944602146737,138207033493.0913,42.94594695965941
Westchester County,NY,2020,596991.0959970673,3.0965379288e-05,9203590106.566353,2.244646321792468
Duval County,FL,2020,204450.94339121567,0.00119181555959,184811037781.78555,20.90179359679782
Marion County,IN,2020,152438.81343937988,7.964735738e-06,1541785389.02205,0.953366851100843
Pinellas County,FL,2020,257766.62938045515,3.8956353632e-05,36695987157.36991,9.701816746806845
Fairfield County,CT,2020,420239.2563705333,2.1626466819e-05,4880596427.1005535,1.321005796745209
Bergen County,NJ,2020,522394.940334897,9.0149006995e-05,858374204.5435526,1.653742927348839
Erie County,NY,2020,181308.2073266577,2.7455007607e-05,20192717082.67484,3.186641127034233
Gwinnett County,GA,2020,261359.1518885473,4.4390943802e-05,14853020339.715082,2.763540539718989
Milwaukee County,WI,2020,174633.9108256406,1.298727504e-06,3813161325.52376,2.350820419210462
DuPage County,IL,2020,304794.6935845596,7.826711764e-06,8189630591.824685,1.217926888720135
Shelby County,TN,2020,151022.5094658622,0.000100206923523,2896372253.086602,3.175575276390668
Pierce County,WA,2020,394577.6348676193,0.00041658518161,2595342997.6950088,3.521942997551319
Kern County,CA,2020,240079.5006821041,0.005263696957843,229546286181.9448,46.16547806878516
Hartford County,CT,2020,227969.53317146123,3.408537576e-05,30421697289.684776,3.771797958238659
Denton County,TX,2020,313970.71248274064,0.001374822043535,149583010630.83798,10.148237511505446
Macomb County,MI,2020,183758.85556237784,7.49943775e-06,903876111.4005562,0.741654057293213
San Francisco County,CA,2020,1310165.2551288104,1.981752598e-06,4310794509.178003,2.602490358995405
Hidalgo County,TX,2020,122361.8885931648,0.001401859303442,104578507598.75308,18.90310732542132
New Haven County,CT,2020,235723.15517659928,2.2445326587e-05,8911102655.521412,2.848539512273124
El Paso County,TX,2020,145672.8901999852,0.000351760085911,82082352610.4742,13.447162814913884
Middlesex County,NJ,2020,378611.257427341,0.000164769940699,24448597494.063072,4.806782663441528
Worcester County,MA,2020,313587.396275315,6.0996230258e-05,94978212912.06772,5.004119100584931
Essex County,NJ,2020,440014.9998885663,6.5146549834e-05,284361959.3864289,2.49711858343858
Montgomery County,PA,2020,324148.7518256664,0.000126258553248,5946810248.194446,1.900860647785016
Baltimore County,MD,2020,270431.9632692316,3.4667234234e-05,1559425963.4425654,1.363922674939141
Baltimore County,MD,2020,270431.9632692316,3.4667234234e-05,1559425963.4425654,1.363922674939141
Baltimore County,MD,2020,270431.9632692316,3.4667234234e-05,1559425963.4425654,1.363922674939141
Ventura County,CA,2020,631422.6489624075,0.014426275895776,402516243778.9157,40.35676934399316
Hamilton County,OH,2020,176318.9888431389,1.0192699103e-05,6499583360.137964,1.914205353495876
Snohomish County,WA,2020,497363.73521122825,0.000584049225446,16712123354.674091,2.350599309933183
Multnomah County,OR,2020,420847.7499383067,0.000296188498109,13326690060.6338,3.953465976180597
Fort Bend County,TX,2020,270720.86326549907,0.000609886932374,72373265074.35027,4.857309593658188
Essex County,MA,2020,480204.7167050661,4.9155289946e-05,87571852880.04573,7.672600806313802
Suffolk County,MA,2020,613602.4667526487,2.528169894e-06,2527022137.179557,2.858568783960632
Oklahoma County,OK,2020,151408.24258792168,0.00088476954709,74032450341.48672,15.169820350261428
Jefferson County,KY,2020,183949.9285810464,1.8377393994e-05,458951016.09785527,0.924792052524309
San Joaquin County,CA,2020,400276.1271863575,0.001276286974389,6006234016.310124,10.20193475978293
Cobb County,GA,2020,283333.392236379,3.3963281396e-05,5720081369.850938,1.683986837928617
San Mateo County,CA,2020,1339887.2793524107,0.003464623199543,106282916594.98232,16.606605552315678
Monroe County,NY,2020,162067.1821329427,4.830909902e-06,12778034408.533825,2.026137023137176
Lee County,FL,2020,241748.8387358399,0.002948583161281,292144981161.4556,51.03301399231772
El Paso County,CO,2020,344898.6304603819,0.001532684705499,402178863360.0113,20.48912105572757
Norfolk County,MA,2020,535131.8866128287,3.0744866487e-05,46906011085.771,2.29563285225133
Lake County,IL,2020,250464.2350259453,4.490675644e-06,14921637535.934862,1.367596603480436
Jackson County,MO,2020,157022.19694638698,4.6732081251e-05,15892359381.028755,3.660070676184917
Polk County,FL,2020,204180.3237985424,0.009301000011663,587782485636.9484,48.529933763887406
Hudson County,NJ,2020,500025.0761241901,7.97145257e-06,3444255.180896942,1.160198015038147
Davidson County,TN,2020,296920.24453690246,2.5510982034e-05,116540386.92024672,0.468811779085231
Denver County,CO,2020,449142.67142329033,0.000100107081032,3634262092.5096855,3.390840230001881
Will County,IL,2020,244199.81328661763,1.1142996917e-05,13543392294.930847,1.319867085108388
Bernalillo County,NM,2020,219670.3415231067,0.000736041121984,112346539727.32402,17.32853098266202
Jefferson County,AL,2020,151737.76556145598,0.000311691940864,2565484163.8356266,3.301665819806909
Tulsa County,OK,2020,160938.3360729889,0.00322706867705,93858952681.81989,22.875641365812964
Providence County,RI,2020,277020.70331627585,4.0152249962e-05,11617751931.197334,3.783524526392653
Kent County,MI,2020,219831.6123322784,1.5267527712e-05,7241833739.320278,1.504322438568713
Arapahoe County,CO,2020,406230.67669835855,0.00025048454093,8446445046.742131,3.303054903311289
Utah County,UT,2020,377913.12733782106,0.008411753713156,251599730482.9063,15.942184485736316
Bucks County,PA,2020,340580.5938657885,0.000184601851929,13690822742.6907,2.731622594308976
Monmouth County,NJ,2020,452540.9421073308,0.000292485103089,70972954251.19691,5.558386082448979
Ocean County,NJ,2020,312274.2096116469,0.001899287097196,214914286885.2353,22.064127399178496
Montgomery County,TX,2020,258310.53540612824,0.000446017988471,10581443844.388084,3.593462329460667
Johnson County,KS,2020,301264.6265665441,6.4962944582e-05,2569572873.9168468,1.111385589588928
Brevard County,FL,2020,231595.33113972648,0.010089683440521,310433988909.35693,50.140983707601286
Washington County,OR,2020,434751.79801184806,5.069861495e-06,2273244738.4586,0.770970502695383
Williamson County,TX,2020,302833.76449346123,0.001134339710714,197402413898.2469,11.81951048713429
Anne Arundel County,MD,2020,380856.8664273604,0.000126131367038,12675439699.03718,1.980025213057574
Jefferson County,CO,2020,466871.5017189992,0.003950934087877,326422398751.7854,25.398588682112106
Douglas County,NE,2020,195811.0638820522,2.7527158514e-05,38684760661.74369,4.529755607300129
Bristol County,MA,2020,347534.6327296495,5.2811377622e-05,73006920148.41306,6.135459546644229
Delaware County,PA,2020,234854.44517992865,0.000139664508607,4564148349.701854,2.187671659894178
Union County,NJ,2020,417774.4997532116,6.5494243176e-05,8050597079.438669,3.583223307475612
New Castle County,DE,2020,252075.12334314303,0.000220131847728,18023818563.87403,5.355313646066488
Dane County,WI,2020,307572.7042078951,7.6854974391e-05,52209466817.2023,3.977882739518716
Pasco County,FL,2020,218152.3210046019,0.002413381428802,341493927827.7855,30.54528034594039
Stanislaus County,CA,2020,339116.47224221705,0.005425340375922,11490311610.271288,16.366024668297133
Lancaster County,PA,2020,243775.6763309268,1.6931914892e-05,114801770.23501389,0.435222184434724
Ramsey County,MN,2020,260939.7345853616,5.8486047967e-05,47910406941.284096,8.197712208483871
Volusia County,FL,2020,219028.11767408336,0.006615462453209,334110732941.0501,47.566302512653024
Summit County,OH,2020,144443.42916275244,7.41073726e-07,207991422.88489348,0.325650619575629
Guilford County,NC,2020,179952.12949242882,9.0085798408e-05,7788083153.040896,3.684300634308789
Montgomery County,OH,2020,126666.49518502958,1.1077924351e-05,732766093.595468,1.007722424378199
Chester County,PA,2020,372739.7509278599,9.2573237756e-05,2893491984.712301,0.876722114440494
Spokane County,WA,2020,287221.09900411224,0.000986039544396,88381944574.23573,13.938672425957508
Plymouth County,MA,2020,415744.3640928104,6.7731117123e-05,264286208200.67416,7.037700807730709
Camden County,NJ,2020,202076.00295899983,0.000780890894585,51599108234.156525,11.84924620791103
Passaic County,NJ,2020,375326.1894196924,0.00016459471969,1873751205.2919047,3.053453271073024
Sedgwick County,KS,2020,145929.3207700523,0.000151662897725,126294856690.6732,9.630469300072829
Greenville County,SC,2020,222018.89030780885,0.000147675151649,15291188817.45526,3.254913948046753
Kane County,IL,2020,238646.50978203988,8.47986633e-06,10752881993.380993,1.906204885511128
Adams County,CO,2020,373927.0843612768,0.000218017273364,5376505639.488514,3.451515509629019
Morris County,NJ,2020,468262.82460490527,0.000188169087676,9066639270.586235,1.566984763774059
Clark County,WA,2020,386012.7541067479,2.9028842544e-05,3789645169.2615857,1.228697286762041
Lake County,IN,2020,165036.55869767777,7.457030963e-06,20660849409.52932,3.249749597839668
Richmond County,NY,2020,584512.3014040714,2.9580972488e-05,3810764078.828596,2.572678276635521
Sonoma County,CA,2020,656786.2288620704,0.004158701242063,330356375271.3189,36.5548838160356
Polk County,IA,2020,201675.8925579353,3.0149943152e-05,55787940300.88237,4.040481878772668
Ada County,ID,2020,358504.3775837151,0.021692045667157,112287629507.50851,19.88192881324376
Washoe County,NV,2020,391595.94537245954,0.006651155488243,199947860555.1003,33.86263793511977
Prince William County,VA,2020,412785.8742874163,0.000142894813532,2538817575.5714707,1.021878580153575
Knox County,TN,2020,206204.44666527747,0.001175757606569,1256307737.9777927,2.897731733167523
Onondaga County,NY,2020,154460.56692071,1.783294555e-05,12511338175.909803,2.238754423446611
Tulare County,CA,2020,243783.5152479557,0.003834578951541,69851572700.79422,35.216095148109176
Seminole County,FL,2020,271335.01901149977,0.006869751023119,158283030839.93307,23.307897300375743
Hampden County,MA,2020,223489.73213055296,4.6107925069e-05,33999198831.54313,5.394754963792898
Burlington County,NJ,2020,259224.9305797552,0.00287386677787,129830545355.48802,10.7835519926585
York County,PA,2020,196997.33340682168,1.3905816423e-05,488338600.4109467,0.442741915144059
Solano County,CA,2020,463354.6941347996,0.001465410442671,60324123711.3617,15.797922985787135
Santa Barbara County,CA,2020,622571.9609653517,0.006380684755642,151466908179.5585,37.49837553874781
Monterey County,CA,2020,600395.9732442157,0.005854304716535,143361189825.52188,38.72937598782045
Dakota County,MN,2020,305026.57561508176,4.1702231261e-05,40173188839.17478,3.168361073426886
Lucas County,OH,2020,110819.82978420435,4.708062921e-06,574707946.282432,0.889978980041038
Sarasota County,FL,2020,280955.08792976564,0.005494652861783,159724986479.9862,41.09730567653073
Berks County,PA,2020,192373.3915435816,3.5327969249e-05,5596622653.682863,2.04302619108425
Pinal County,AZ,2020,248131.7299660321,0.0040754719671,327449326797.1276,30.931989646316573
Hillsborough County,NH,2020,309494.27990654047,0.000116620654743,209309847327.5332,6.50822644692211
Cameron County,TX,2020,130175.56990451504,0.000139068498318,30193460261.176888,11.378224680106683
Clackamas County,OR,2020,459460.20197198034,0.001491739552769,43420831331.6898,6.717783717225771
Richland County,SC,2020,165742.16730821723,0.000206217787282,37216122946.59565,5.06610100711623
Mobile County,AL,2020,138352.94711563335,0.001672108544542,196859787352.2204,24.33141092224548
Loudoun County,VA,2020,559576.4857160352,0.000381710009345,7504923791.821885,0.001586062502642
Genesee County,MI,2020,122701.56485818734,1.3826501631e-05,4092630286.5379214,1.516996495265626
Waukesha County,WI,2020,332276.90994362393,5.6543230226e-05,53145693785.2376,2.755432329675196
Charleston County,SC,2020,350347.84682984673,0.001945331169057,321598642823.20514,27.346255441691767
Placer County,CA,2020,521599.3987259826,0.005900954161869,216653483304.1424,21.488420926281805
Orange County,NY,2020,280949.5827734865,0.000197928084486,65521161275.387886,6.446238929907871
Pulaski County,AR,2020,154550.5407547223,0.000189787854788,3096367518.1445146,2.759948660482208
Manatee County,FL,2020,281776.41203046823,0.002947587716698,123036444149.44348,24.71349131884292
Butler County,OH,2020,197231.5024169016,4.9698884176e-05,20299675347.924488,2.765416365368619
Mercer County,NJ,2020,276547.84977744607,0.00029340707196,15040260488.233868,4.846947988897966
Madison County,AL,2020,210844.4170866638,0.000165095857389,1099168618.21516,1.406452079513718
Allen County,IN,2020,155447.18284571043,6.750690225e-06,175885265.1338221,0.420090838270879
Forsyth County,NC,2020,181486.670678794,7.0433965978e-05,7231307030.652839,3.732520251529475
Lane County,OR,2020,325143.3464892907,0.00079556399505,13460256135.236233,4.197908859348312
Osceola County,FL,2020,249659.7613376053,0.014047039492801,231031604677.81253,45.05511703973357
Lake County,FL,2020,244064.7963249824,0.005454249968543,384910445209.008,43.14689913897604
Stark County,OH,2020,140845.10573209435,2.55776429e-06,2904737566.4817886,0.97668495837039
Collier County,FL,2020,354508.7551178113,0.009313300341402,259767323171.8101,46.49528055655559
Washtenaw County,MI,2020,304431.67974057654,1.5417997641e-05,2674335808.5243,0.809451473139739
Lehigh County,PA,2020,222112.84626258656,4.4517849315e-05,9503651438.994944,3.15866696060013
Marion County,FL,2020,174811.0188123919,0.007987326536249,591060859132.843,57.40594418333277
Brazoria County,TX,2020,249353.5103782864,0.001570525949223,85004826969.01329,10.440786327004252
Bell County,TX,2020,174863.23773183906,0.001079914644978,110750924577.68236,14.635999706544473
Hamilton County,TN,2020,224507.5253425229,0.000503929008773,947275199.6889534,2.29030302289512
Anoka County,MN,2020,275798.5755456614,0.00073988752347,313907408713.64343,12.47924952341812
Chesterfield County,VA,2020,267215.87808379234,5.1904140126e-05,509314457.42223847,0.722327922150569
Davis County,UT,2020,368960.2848498991,0.000815938271672,51791251347.339455,4.56011457149803
Westmoreland County,PA,2020,153001.9251148374,6.189719571e-06,5787830406.92698,1.187111826719823
Larimer County,CO,2020,420010.3166873399,0.002127773725794,114563815633.07253,16.83325333295266
Nueces County,TX,2020,185020.9303899405,0.000136215655176,23092768206.29547,11.425243363937287
Douglas County,CO,2020,529156.0131917059,0.002327749498534,178310326747.55295,0.466709582728383
Galveston County,TX,2020,239790.1815839753,0.00124039439306,62221444769.35329,14.305670575581049
Horry County,SC,2020,201885.98519714447,0.000705090876004,329679703362.6509,26.49305355973181
Marion County,OR,2020,320481.08688136,0.00105843651546,3644541154.054852,5.306889502011574
Somerset County,NJ,2020,441892.5577737008,0.000229935170274,19293380878.88744,1.705829134574224
Hamilton County,IN,2020,301911.1418894069,7.120554049e-06,1012442218.6811897,0.204486687212466
Rockland County,NY,2020,472160.0545576438,0.000142500371837,1076778651.7968197,1.74072855593745
Rutherford County,TN,2020,276719.212642074,0.000104199716347,602176721.4343576,0.783116672492458
Cumberland County,NC,2020,136791.2753470047,0.000446371421266,120212486362.80484,13.326509477335788
Henrico County,VA,2020,264271.7089524328,5.4024590548e-05,1092700341.407958,0.947536010892324
Howard County,MD,2020,477219.73257257725,6.9995793135e-05,249024286.8423881,0.097252414407216
Boulder County,CO,2020,559819.6434222023,0.002681476066236,104040858020.95276,12.876776350562114
Luzerne County,PA,2020,140454.33753217795,4.5223832244e-05,11917822699.533983,3.219332441461193
Spartanburg County,SC,2020,173907.33580753804,0.000158326201634,16373171394.316765,4.482325417547577
Weld County,CO,2020,384179.8548236865,0.000577875658586,16863405901.770432,4.777483415497669
Fayette County,KY,2020,209550.68625692444,0.000302168909174,4551662.479642536,0.494834660340041
Lancaster County,NE,2020,205990.3552609214,3.4492916294e-05,86007884403.39873,4.196943200566896
Durham County,NC,2020,264369.40664814616,3.4276000865e-05,839749965.7968047,1.490076180629085
Escambia County,FL,2020,186123.80433631528,0.001220596690081,82591834454.10413,15.2530741702344
Albany County,NY,2020,240746.9444127608,5.817685155e-05,13565673433.292225,2.835056650659369
Rockingham County,NH,2020,371588.6260964835,9.1249233648e-05,111063075968.71616,3.295568790529399
Lorain County,OH,2020,161488.47806553816,1.040409313e-06,158380445.25432053,0.321485083170128
Northampton County,PA,2020,229084.4415945685,5.2238479237e-05,11762692178.955648,2.456551219891608
McHenry County,IL,2020,225168.24387943425,1.4910636831e-05,10878417731.923147,1.114518833952781
Lubbock County,TX,2020,157066.4838341295,0.00044421672935,70633339411.45682,13.231088666037245
Cumberland County,ME,2020,341013.84598612465,6.3312058025e-05,49822692401.79245,5.213361843043956
Gloucester County,NJ,2020,227937.01835010108,0.000501349577015,31472981938.973072,5.185382361073192
Greene County,MO,2020,157804.60197589907,0.001056466268645,33239055224.60843,10.383004715130514
Dutchess County,NY,2020,302106.9901783355,0.000104523117729,21973409514.624905,3.210645333357202
Chatham County,GA,2020,207908.70126356825,0.002629604197225,219868281562.05725,33.414332367868695
Clayton County,GA,2020,147397.01404858156,4.0253202234e-05,2284622252.0383854,2.049515368489845
Ottawa County,MI,2020,249411.71476564973,4.847519556e-06,7903326978.258954,1.281957077333002
Cleveland County,OK,2020,175047.901831688,0.001374951160564,55397869268.78466,9.215401478295393
Lexington County,SC,2020,177365.5557371004,0.000127266953526,71599413975.84103,4.660817669224604
Leon County,FL,2020,212203.9606287853,0.002639676697749,421726445915.2817,20.00740816816885
Thurston County,WA,2020,362751.69450403424,1.3331628262e-05,3252824068.7505474,1.080739493189614
Ingham County,MI,2020,143471.17888299524,1.1047382215e-05,4036185491.851741,1.31689139860173
Winnebago County,IL,2020,115001.66927677071,1.571238957e-05,5645905118.250349,2.297802909929505
Dauphin County,PA,2020,175921.44316634044,1.4721540606e-05,1236031377.0154626,0.947788710174728
San Luis Obispo County,CA,2020,632671.2054973341,0.007097684865333,210629288799.71384,26.240867856681813
Benton County,AR,2020,219466.57050139605,0.002772426777321,57975827742.04567,12.481408837782002
Merced County,CA,2020,293635.4696834637,0.005159711550467,7491999076.708345,14.526787610425318
York County,SC,2020,251286.7633564232,0.000126672632594,5465642731.691165,2.253802058680024
Alachua County,FL,2020,210799.22076825527,0.005628987970369,431794130485.9609,34.036670775830245
Atlantic County,NJ,2020,216241.54139282528,0.002134961245435,208567159921.0388,33.39221902628782
Kitsap County,WA,2020,420373.9501045371,9.086269087e-06,3525790862.734524,0.862197997109582
Santa Cruz County,CA,2020,842280.0601508232,0.007794770651359,235986071130.79456,36.28527848642434
Erie County,PA,2020,135107.32265001137,3.306253727e-06,3890362861.307889,1.399357620665403
New London County,CT,2020,244871.27159689632,4.6325490587e-05,21250748260.5026,3.145917430999253
Frederick County,MD,2020,356865.4819809099,4.4642271093e-05,3609038529.7400174,1.010511781723399
Brown County,WI,2020,214131.40669035155,7.676765292e-06,7192329085.890168,1.626775892188278
Buncombe County,NC,2020,307795.7861263074,0.001036317979563,6311785943.254918,7.321964152770205
Webb County,TX,2020,174479.11996567648,0.001168496175133,9842161719.706528,12.327274458212472
Madison County,IL,2020,130038.84146977564,1.7647726008e-05,428942943.4349591,0.722821667120935
Washington County,MN,2020,335509.19970594003,0.00020617840063,133036093132.28548,5.423455132593362
Marin County,CA,2020,1124093.6843073592,0.001568579352032,155885571050.6724,9.728424364177242
Cherokee County,GA,2020,294624.8963655287,0.000205423163495,7964605952.36504,2.154117043628848
Kalamazoo County,MI,2020,184993.1958295169,1.3604043301e-05,1695402532.9887075,0.933960693060043
Weber County,UT,2020,302034.4478962125,0.001622689568619,69938918437.42096,13.06352698887105
Harford County,MD,2020,307191.5237906548,4.1287293256e-05,1983674803.6342635,0.835243798705579
McLennan County,TX,2020,176468.7863399024,0.000783600152549,70436431291.42836,13.065832240792238
Cumberland County,PA,2020,225711.75471649703,1.5167832944e-05,5432299152.292049,1.289286050464811
Jefferson County,TX,2020,140856.72644788216,0.009736374664386,74815776678.61763,22.415325332656728
Yakima County,WA,2020,251401.84428826417,0.006205112196531,163584717415.91833,32.02267399114007
Clay County,MO,2020,210678.0430714148,0.000149440095049,36864343602.01794,4.205628532948896
Forsyth County,GA,2020,371366.6714833796,0.000100040413704,11244766841.903204,1.14799453772808
Washington County,AR,2020,213711.66657695465,0.003650269883744,41427005770.73064,15.00926372007857
Williamson County,TN,2020,544603.5924203782,7.0090313688e-05,32755255.440296814,0.040085065489122
Warren County,OH,2020,265398.72711690154,3.4387802143e-05,15119330712.782175,1.058606111324525
Henry County,GA,2020,211103.37315038967,0.000129626766174,12951784815.472063,2.955787620743899
Union County,NC,2020,285148.9159215921,3.6946207393e-05,3238389398.7452297,1.027737471673297
Arlington County,VA,2020,707933.4814619852,3.009954587e-05,0.0,0.0
Saratoga County,NY,2020,290739.75469707506,5.5289981519e-05,16671131153.056211,2.073068664395004
Hays County,TX,2020,292661.7156049815,0.001746479682381,216876817318.98105,17.58506188289823
Sussex County,DE,2020,332502.7174067737,0.000327039811463,33817198426.10264,11.835592485193288
Yavapai County,AZ,2020,345202.2601511064,0.005561313299125,341402770584.96173,63.943209321197045
Lake County,OH,2020,162721.78960785337,3.10427626e-07,108393863.49212348,0.278949521664061
Oneida County,NY,2020,141843.0512786062,1.7985389632e-05,18097590649.39956,2.757039275767188
Smith County,TX,2020,184025.03191815107,0.000667263130812,21814074161.643616,8.131973301131127
Brazos County,TX,2020,233648.76154819145,0.00052602918278,6571208498.06323,3.93394953989629
Hinds County,MS,2020,96355.08588041028,0.000183343076997,1252029396.6930065,2.322203582089122
Montgomery County,AL,2020,111991.40112052608,0.000311968502599,1088571544.822622,2.604878036170735
Mahoning County,OH,2020,98997.35013558972,3.044388987e-06,1056876700.5648437,0.906409069309212
Linn County,IA,2020,164612.21586879573,3.029484423e-05,44513278837.28318,3.47339769355705
Barnstable County,MA,2020,447345.3027162364,2.458580063e-05,69652221429.69014,9.251050277270888
Canyon County,ID,2020,274238.130649168,0.001708327596773,19195134836.72957,12.376445982650994
Baldwin County,AL,2020,264027.27627855603,0.001520440524742,115120837690.88416,16.690800332372568
Gaston County,NC,2020,184103.38024720587,0.000103909599622,4784112664.233028,2.853291447376398
Jefferson County,MO,2020,195492.27104222067,0.000132227817822,8564399075.005171,2.59321715740925
New Hanover County,NC,2020,271747.3794922111,0.000543672096047,216345013296.44977,18.850646379963425
Whatcom County,WA,2020,427453.7043122675,0.000224408632517,222177716.6333104,1.347668412633064
Tuscaloosa County,AL,2020,173406.11424718614,0.000376113527907,3176634400.733451,2.901376743284599
Berkeley County,SC,2020,249675.026667654,0.001351209589653,135614543789.0895,11.940873731608113
Jackson County,OR,2020,332668.8738913706,0.005948570474619,71216065272.10896,26.340578284974967
Cabarrus County,NC,2020,242144.63039300343,7.9976191893e-05,5476885674.113489,2.31148040264437
Shelby County,AL,2020,257044.91794251985,0.000297772577038,1347448521.5326211,1.22607542313818
Butte County,CA,2020,340862.4575600471,0.006722995229688,256186297002.6833,35.49610071246184
Yolo County,CA,2020,475784.78837581485,0.002515856386216,3043173824.654372,8.730963976348766
Clay County,FL,2020,228860.18889486545,0.002473181339776,114579967460.75392,13.945079601220735
Montgomery County,TN,2020,205143.0745521216,0.000124052408833,377150289.19107217,0.95394339759485
Lackawanna County,PA,2020,136231.7835256617,5.8905036492e-05,7670376016.032332,3.298123788085073
Niagara County,NY,2020,151135.08220103817,5.747833709e-06,15152067966.833427,2.328227227808393
Mohave County,AZ,2020,249542.0745086345,0.005272525535957,181718911158.9709,43.64640039030124
Delaware County,OH,2020,344433.3572317464,1.3257650598e-05,4098707597.7999854,0.276621966706974
Johnston County,NC,2020,225817.5678507838,8.4002685126e-05,10139277687.633604,2.916580151823148
York County,ME,2020,322857.0249874965,7.7039814867e-05,44942430502.52651,5.269102534927469
Okaloosa County,FL,2020,253929.98400431467,0.001540969059712,43738161346.26404,10.864727852452726
Washington County,PA,2020,174383.2798884384,1.012308064e-06,395119935.336216,0.342968871607958
Clermont County,OH,2020,210456.21172710267,3.4237372147e-05,17180436348.719563,1.972328327140766
Harrison County,MS,2020,155970.17480727992,0.002498554415494,156577705849.75418,28.05092379430507
Champaign County,IL,2020,154947.4897373582,1.786260428e-06,60601175.11321008,0.366683164058085
Elkhart County,IN,2020,168688.90921643112,9.744011453e-06,483492850.6964357,0.664726656416582
Richmond County,GA,2020,118769.44880810753,0.000101620358359,31299953534.31784,5.333957302644362
