COUNTY,STATE,2020-mean,2021-mean,2023-mean
Davidson County,TN,296920.24453690246,339652.5663325275,419203.1701688804
Denver County,CO,449142.67142329033,506392.9007154655,557886.1703184898
Will County,IL,244199.81328661763,270202.05647556897,312618.6021102436
District of Columbia,DC,598603.7413078853,633414.4394930326,621632.9557776854
Bernalillo County,NM,219670.3415231067,256156.75540374147,310588.5100733694
Jefferson County,AL,151737.76556145598,173898.63977589615,203214.4985854753
Tulsa County,OK,160938.3360729889,182971.87729685783,218702.02119641544
Providence County,RI,277020.70331627585,322389.95074463804,377766.3024224734
Kent County,MI,219831.6123322784,255091.8421550204,295475.63282432326
Arapahoe County,CO,406230.67669835855,466454.3466741929,521262.5281980577
Utah County,UT,377913.12733782106,464557.6588122956,519135.89944720647
Bucks County,PA,340580.5938657885,384536.0754289685,448344.4707109342
Monmouth County,NJ,452540.9421073308,527457.1341652792,631271.1211322501
Ocean County,NJ,312274.2096116469,373198.4823421948,461080.3720452131
Montgomery County,TX,258310.53540612824,294138.4085389937,348917.24555743544
Johnson County,KS,301264.6265665441,338583.6592149888,397883.2871381344
Brevard County,FL,231595.33113972648,273246.59542019706,347331.784306149
Washington County,OR,434751.79801184806,501761.8662146365,562213.7612057676
Baltimore City,MD,138877.08932563677,158276.4719663948,171830.39614277362
Williamson County,TX,302833.76449346123,404585.38088785583,443089.2419337142
Anne Arundel County,MD,380856.8664273604,422583.94089201296,464542.8002584952
Jefferson County,CO,466871.5017189992,543716.0287406916,603229.3171190056
Douglas County,NE,195811.0638820522,223326.0924702988,262249.10744440445
Bristol County,MA,347534.6327296495,400323.1344769129,458210.3274581409
Delaware County,PA,234854.44517992865,269258.8181339432,314785.69479010656
Union County,NJ,417774.4997532116,471682.8822363413,536557.1047998072
New Castle County,DE,252075.12334314303,283821.6354078968,325254.97079280374
Dane County,WI,307572.7042078951,341347.34630449297,397368.0756048673
Pasco County,FL,218152.3210046019,263055.77000064607,341626.58224563696
Stanislaus County,CA,339116.47224221705,400745.5443864628,439180.83926513634
Lancaster County,PA,243775.6763309268,275480.4465593721,328357.225876028
Ramsey County,MN,260939.7345853616,290538.8196271852,310658.8541704539
Volusia County,FL,219028.11767408336,256970.07550837635,327667.36504801485
Summit County,OH,144443.42916275244,163278.93708912903,187545.3936946296
Guilford County,NC,179952.12949242882,208126.42171349144,252809.41846662213
Montgomery County,OH,126666.49518502958,144600.28018104009,168892.57735433665
Chester County,PA,372739.7509278599,417612.2638823935,493546.654706433
Spokane County,WA,287221.09900411224,351789.9099081415,397765.0361944178
Plymouth County,MA,415744.3640928104,480380.2821635799,553661.6340444257
Camden County,NJ,202076.00295899983,238309.64011860653,292899.8210307428
Passaic County,NJ,375326.1894196924,424593.8181676645,486159.2620651063
Sedgwick County,KS,145929.3207700523,161187.7285233283,194854.9327667215
Greenville County,SC,222018.89030780885,251138.9162888079,310042.88394173555
Kane County,IL,238646.50978203988,266388.477314422,310520.8142179371
Adams County,CO,373927.0843612768,434674.70756945614,485464.1238660379
Morris County,NJ,468262.82460490527,515724.42526630894,586562.111393998
Clark County,WA,386012.7541067479,452993.7621407111,516076.9863478129
Lake County,IN,165036.55869767777,189077.249044476,219885.09963187765
Richmond County,NY,584512.3014040714,598835.332970362,652712.0342168036
Sonoma County,CA,656786.2288620704,723407.8819853486,776934.9623585823
Polk County,IA,201675.8925579353,221007.90115378684,252967.3716629881
Ada County,ID,358504.3775837151,486288.1075643615,489714.1097774976
Washoe County,NV,391595.94537245954,475271.0800554932,515871.1147831384
Prince William County,VA,412785.8742874163,466674.11674290913,523145.6476610562
Knox County,TN,206204.44666527747,245586.0131816677,330036.319390047
Onondaga County,NY,154460.56692071,175547.89421451933,211565.43645731607
Tulare County,CA,243783.5152479557,285106.8230183593,328956.6617540789
Seminole County,FL,271335.01901149977,308993.25864586706,393738.4427438081
Hampden County,MA,223489.73213055296,256344.0780482228,296235.90139618627
Burlington County,NJ,259224.9305797552,294217.90206789394,355904.3069913915
Virginia Beach City,VA,294752.76704796904,330062.1165826524,376407.13765457744
East Baton Rouge Parish,LA,188671.1071667052,197697.0209477624,218173.10367020045
York County,PA,196997.33340682168,221907.5577319844,261462.9602855121
Solano County,CA,463354.6941347996,534390.1195216657,569937.9399930027
Santa Barbara County,CA,622571.9609653517,732865.0512936806,897338.6007627384
Jefferson Parish,LA,230900.7767190052,247845.8686811207,236858.764981344
Monterey County,CA,600395.9732442157,701116.835619764,785795.5683940194
Dakota County,MN,305026.57561508176,341810.8673131643,369815.369515731
Lucas County,OH,110819.82978420435,126854.82245442014,143404.05556017434
Sarasota County,FL,280955.08792976564,338327.49676991976,457483.0463186436
Berks County,PA,192373.3915435816,217809.5138978504,260755.23437428896
Pinal County,AZ,248131.7299660321,323499.24291322194,368202.66892479616
Hillsborough County,NH,309494.27990654047,361395.6183100433,437081.451771515
Cameron County,TX,130175.56990451504,152958.44378004788,190164.2870222934
Clackamas County,OR,459460.20197198034,534093.9128870566,591246.3963353913
Richland County,SC,165742.16730821723,188822.02682552068,232940.63299790688
Mobile County,AL,138352.94711563335,154876.4300353887,181380.81674216263
Loudoun County,VA,559576.4857160352,633339.943824977,714713.31313018
Genesee County,MI,122701.56485818734,145073.63151823136,161307.5961499319
Waukesha County,WI,332276.90994362393,365106.7828974248,414854.2758776502
Charleston County,SC,350347.84682984673,408777.49871965294,535480.4970886416
Saint Charles County,MO,249622.1227065244,281904.1558952273,329751.3291897716
Placer County,CA,521599.3987259826,616594.878368938,658664.1239047678
Orange County,NY,280949.5827734865,327882.9149879213,394709.7374527164
Pulaski County,AR,154550.5407547223,169771.12900949045,190490.9450804336
Manatee County,FL,281776.41203046823,334469.35118824063,453782.8701243571
Butler County,OH,197231.5024169016,226463.97835603845,266147.27451022656
Mercer County,NJ,276547.84977744607,309930.26594647265,375917.2040192735
Orleans Parish,LA,226181.0642531302,248381.55947932068,251323.6126069314
Madison County,AL,210844.4170866638,251947.25700771905,298843.3624196325
Allen County,IN,155447.18284571043,178158.92955104343,216235.1754626952
Forsyth County,NC,181486.670678794,211064.6803767984,256088.3264391463
Lane County,OR,325143.3464892907,383590.66400941816,433948.8316040273
Osceola County,FL,249659.7613376053,285337.4546812789,375981.7991641129
Lake County,FL,244064.7963249824,280167.70144208096,359558.15696636616
Stark County,OH,140845.10573209435,157462.7099939723,180172.2850284807
Collier County,FL,354508.7551178113,421754.8859418042,598029.5833712876
Washtenaw County,MI,304431.67974057654,330272.0620455335,367844.42152031214
Lehigh County,PA,222112.84626258656,254794.6969059912,303402.5572434972
Marion County,FL,174811.0188123919,207419.09779902475,277654.265622021
Brazoria County,TX,249353.5103782864,275114.13280252344,319797.21610278165
Bell County,TX,174863.23773183906,206297.7978187682,255997.9917404996
Hamilton County,TN,224507.5253425229,260895.60759221177,317336.31932597683
Anoka County,MN,275798.5755456614,314612.94561981625,342010.9343141532
Chesterfield County,VA,267215.87808379234,306654.4263662748,363717.2673681593
Davis County,UT,368960.2848498991,451244.2273004204,511331.34437850007
Westmoreland County,PA,153001.9251148374,170916.75602482917,182219.86058425123
Larimer County,CO,420010.3166873399,473626.4736669802,540461.0965041794
Nueces County,TX,185020.9303899405,201025.6076820645,220166.2184752594
Douglas County,CO,529156.0131917059,619100.6918592044,703091.9783191821
Galveston County,TX,239790.1815839753,272801.0571453475,316041.6583275703
Horry County,SC,201885.98519714447,234864.80024909045,306249.6300811935
Marion County,OR,320481.08688136,376784.9417435445,420145.4955454611
Somerset County,NJ,441892.5577737008,483037.5133679125,557590.1275491143
Hamilton County,IN,301911.1418894069,347060.2948202063,416665.0796555372
Rockland County,NY,472160.0545576438,527761.3285435479,626028.1064054751
Rutherford County,TN,276719.212642074,319429.6430907903,389852.2701650539
Cumberland County,NC,136791.2753470047,157157.4743436244,204070.7259465917
Henrico County,VA,264271.7089524328,297529.7840526165,351952.33584873384
Howard County,MD,477219.73257257725,523046.2626388783,583555.580379711
Boulder County,CO,559819.6434222023,638181.7958915777,723886.3899214324
Saint Lucie County,FL,235500.1264514256,282903.54402788455,375707.8750316352
Luzerne County,PA,140454.33753217795,162488.15561189884,185373.7542149733
Spartanburg County,SC,173907.33580753804,201355.6419550221,248448.15485377528
Weld County,CO,384179.8548236865,438040.7088673275,491443.5226434549
Fayette County,KY,209550.68625692444,235935.73299342545,282288.1754686042
Lancaster County,NE,205990.3552609214,232572.29361657856,269393.67726555245
Durham County,NC,264369.40664814616,311370.04167807504,386087.39218381146
Escambia County,FL,186123.80433631528,218618.8050528455,268358.62435883604
Albany County,NY,240746.9444127608,264766.8667249501,304171.816296624
Rockingham County,NH,371588.6260964835,434837.685934025,526067.2131585107
Lorain County,OH,161488.47806553816,184611.00646103857,214416.6751089299
Northampton County,PA,229084.4415945685,261480.4142517477,307253.4187818347
McHenry County,IL,225168.24387943425,255321.21412087107,300814.8836552957
Lubbock County,TX,157066.4838341295,175775.7250389997,206285.6447033981
Saint Louis City,MO,133348.05811809874,149452.5940971741,162240.07288199913
Cumberland County,ME,341013.84598612465,411170.8318257725,499406.7167839564
Gloucester County,NJ,227937.01835010108,263617.96487461106,321563.3064472012
Greene County,MO,157804.60197589907,184630.77451211915,228659.1159360749
Dutchess County,NY,302106.9901783355,356354.421550727,411729.4088402607
Chatham County,GA,207908.70126356825,236967.275464876,311792.5491769547
Clayton County,GA,147397.01404858156,179420.23975867298,237885.7960854578
Ottawa County,MI,249411.71476564973,286590.4263155886,339766.59719272057
Anchorage Borough,AK,345812.2821068121,351382.2753537411,385124.7852617361
Cleveland County,OK,175047.901831688,194247.5770118452,233173.1091343822
Lexington County,SC,177365.5557371004,201660.58724284463,251296.03560016977
Leon County,FL,212203.9606287853,234618.1050209516,274437.4761739744
Thurston County,WA,362751.69450403424,440680.4242336015,486355.370016872
Ingham County,MI,143471.17888299524,162651.57484545212,183715.2872249633
Winnebago County,IL,115001.66927677071,130412.19830433148,156173.5525229945
Dauphin County,PA,175921.44316634044,196715.36696621423,235214.03968129345
San Luis Obispo County,CA,632671.2054973341,719323.7380997175,839420.4615366501
Benton County,AR,219466.57050139605,263281.40990333474,339294.6043855183
Merced County,CA,293635.4696834637,347003.37959429435,390360.963387068
York County,SC,251286.7633564232,298149.96269134496,363269.6589358981
Alachua County,FL,210799.22076825527,240866.4160659536,291445.7882128576
Atlantic County,NJ,216241.54139282528,257183.43497233465,320164.9620181344
Kitsap County,WA,420373.9501045371,502858.6026396076,536349.3570324688
Santa Cruz County,CA,842280.0601508232,1004871.874657421,1110972.09680682
Saint Joseph County,IN,137392.92790527744,156779.73641032347,190284.7147447245
Erie County,PA,135107.32265001137,152012.97406713336,177469.39370334975
New London County,CT,244871.27159689632,285581.08731325093,339891.55223721167
Frederick County,MD,356865.4819809099,404501.2018707511,459318.38880053774
Brown County,WI,214131.40669035155,243807.0794775088,289010.3127439876
Buncombe County,NC,307795.7861263074,356624.27347980085,433982.0098663489
Webb County,TX,174479.11996567648,189766.8139619776,209950.12503899564
Madison County,IL,130038.84146977564,144328.68652182093,163858.23744722095
Saint Johns County,FL,332395.3324579086,395388.6091316139,511313.0676592232
Washington County,MN,335509.19970594003,375718.3352880506,413989.2406701217
Saint Tammany Parish,LA,235461.7812811104,260944.7058762364,280317.87252220773
Marin County,CA,1124093.6843073592,1309358.865534549,1390533.788934222
Cherokee County,GA,294624.8963655287,346191.20887430327,436199.9049228547
Kalamazoo County,MI,184993.1958295169,208988.4760802889,239010.4661762895
Weber County,UT,302034.4478962125,378418.9567199047,429935.6983662167
Saint Clair County,IL,125660.701627557,141126.2844966487,158533.19470317365
Harford County,MD,307191.5237906548,341487.01610619226,384117.3009414803
McLennan County,TX,176468.7863399024,208380.8728311221,257163.1407802064
Cumberland County,PA,225711.75471649703,250630.66095126187,298004.8564148428
Jefferson County,TX,140856.72644788216,148162.85619495538,152639.24305392514
Yakima County,WA,251401.84428826417,293256.26876747754,320705.2550837836
Clay County,MO,210678.0430714148,241859.1281757522,284422.09973400045
Chesapeake City,VA,287011.73196095444,321204.86033660825,370875.3587308841
Forsyth County,GA,371366.6714833796,438093.4735863004,571292.2023683382
Washington County,AR,213711.66657695465,249325.50991959925,310525.5342907804
Williamson County,TN,544603.5924203782,655122.1550692769,834744.077137657
Lafayette Parish,LA,204687.8960993206,211919.26850820144,230108.98754246297
Caddo Parish,LA,123477.45257478736,126725.5777297947,130276.15496221284
Warren County,OH,265398.72711690154,302749.25990630564,355756.7156444644
Norfolk City,VA,214878.34622040112,243632.2839891597,276253.60428936203
Henry County,GA,211103.37315038967,254036.3362629586,326831.77899418626
Union County,NC,285148.9159215921,338400.25908350426,419246.00313195976
Arlington County,VA,707933.4814619852,743093.8989658103,763878.4642320351
Saratoga County,NY,290739.75469707506,325076.2842308607,378287.232501332
Hays County,TX,292661.7156049815,373972.6685641568,421649.8981317919
Sussex County,DE,332502.7174067737,396369.7381785657,465303.4560579104
Yavapai County,AZ,345202.2601511064,417165.831782998,480808.7769063302
Lake County,OH,162721.78960785337,182424.7269101971,207162.25666025907
Oneida County,NY,141843.0512786062,163832.33725790968,188960.63088836367
Smith County,TX,184025.03191815107,208177.3046383817,260023.0183505029
Brazos County,TX,233648.76154819145,250958.5804505302,297317.4152868265
Hinds County,MS,96355.08588041028,113345.42147338387,118026.38692783292
Montgomery County,AL,111991.40112052608,123077.55033595824,146677.13213595052
Mahoning County,OH,98997.35013558972,117142.68062495238,140281.63281519327
Linn County,IA,164612.21586879573,178692.27186021963,204876.69413901743
Barnstable County,MA,447345.3027162364,546068.830927888,675528.595236356
Canyon County,ID,274238.130649168,378351.3206455445,388368.8306936895
Baldwin County,AL,264027.27627855603,310139.29339547496,374871.7365319454
Gaston County,NC,184103.38024720587,221610.60495406928,276811.6038670195
Jefferson County,MO,195492.27104222067,219469.3201572767,247977.4446785453
Richmond City,VA,242846.20886292,277535.5776336634,325207.5349492551
New Hanover County,NC,271747.3794922111,314727.5935719852,402725.9340219163
Whatcom County,WA,427453.7043122675,508080.916194662,569030.222905665
Tuscaloosa County,AL,173406.11424718614,191186.0776505124,220178.3234985118
Berkeley County,SC,249675.026667654,287651.82528151583,351554.23217503604
Jackson County,OR,332668.8738913706,389341.9218438517,416852.7430248219
Cabarrus County,NC,242144.63039300343,289031.32365644845,360227.3891276785
Shelby County,AL,257044.91794251985,290360.3591065816,337987.84921986744
Dona Ana County,NM,186122.16044095563,212925.90667098548,270628.6708425989
Butte County,CA,340862.4575600471,381895.2722950546,392660.3145514688
Yolo County,CA,475784.78837581485,543379.3185788436,591454.7723943508
Clay County,FL,228860.18889486545,266254.60453729186,334811.0175433227
Montgomery County,TN,205143.0745521216,238864.9943223016,297495.2824791355
Lackawanna County,PA,136231.7835256617,157047.44144545306,184369.55784536668
Niagara County,NY,151135.08220103817,175700.88949441738,205266.2142902469
Calcasieu Parish,LA,208091.660973734,204162.08505142352,194649.5817624196
Mohave County,AZ,249542.0745086345,309876.05944828154,349145.0762043835
Delaware County,OH,344433.3572317464,388992.54123213975,461260.6105881629
Johnston County,NC,225817.5678507838,268361.0133831357,333625.669134436
York County,ME,322857.0249874965,382580.44507775066,463711.9863423535
Okaloosa County,FL,253929.98400431467,296849.4264747697,356863.6365436027
Washington County,PA,174383.2798884384,192273.04791196145,206403.9776423082
Clermont County,OH,210456.21172710267,244004.67796368097,282104.77036189265
Harrison County,MS,155970.17480727992,175987.6394549995,203929.0369956648
Champaign County,IL,154947.4897373582,167786.29251134393,191011.74057526
Elkhart County,IN,168688.90921643112,192695.2614696785,226736.39700704024
Richmond County,GA,118769.44880810753,139984.30892580486,171958.4382423758
Benton County,WA,328257.7455137681,365591.4094210833,422350.2705818399
Muscogee County,GA,114487.02731872436,131188.1229215083,154644.29294832365
Yuma County,AZ,176306.31302656877,212231.63794857767,263279.8547840662
Anderson County,SC,171035.5259434805,200001.3411919267,255759.97158569287
Trumbull County,OH,97589.49909610076,114134.436823135,134212.2282516547
Hall County,GA,240793.1116577351,286242.9633375659,360281.13685496035
Onslow County,NC,178733.34960579014,200827.94315900307,257542.1044378824
Hawaii County,HI,386281.5469162878,443369.6940202607,549222.8624386683
Saint Louis County,MN,166181.12458140173,187565.4602421804,215605.24627719555
Broome County,NY,116797.86237401245,131678.9629614691,156480.67081130086
Racine County,WI,191668.55847092884,217455.58563192468,249884.02382593183
Sangamon County,IL,140759.09043304643,145633.045540911,163199.983070449
Deschutes County,OR,446748.38491126057,575163.6726704912,641535.8354759406
Minnehaha County,SD,220058.7760363392,250665.97403287803,296965.6411934826
Livingston County,MI,275442.1671585779,311613.3542272563,350526.8736291244
Sumner County,TN,294735.5089860384,341879.1678659252,414344.0823000397
Butler County,PA,251675.4651665449,269958.114186054,293911.85515819414
Hernando County,FL,190061.91940832505,233128.5479838715,310984.85961329495
El Dorado County,CA,500466.3914113994,600114.212305698,634712.3141094333
Saginaw County,MI,101867.69678262773,118433.149173374,140980.26821677157
Outagamie County,WI,206907.40283852312,232493.7284414906,279928.00155748724
Sarpy County,NE,241654.03222265243,271640.4101642634,317888.0349050556
Ellis County,TX,262083.83196124705,304818.26185790234,361257.8488790607
Tippecanoe County,IN,189341.28261219696,214734.7099086249,250873.995019998
Beaufort County,SC,329470.107164636,385553.95446382585,512678.10972290585
Litchfield County,CT,243796.96986012405,292639.32477657904,351796.8973097172
Charlotte County,FL,222636.77058076544,269503.2180387604,358297.6526991964
Santa Rosa County,FL,236724.50149407264,282805.91119665426,345314.39264054707
Iredell County,NC,243272.10776135256,293642.80543369503,359340.87297700765
DeSoto County,MS,211683.81457531976,239258.43198750308,281237.5985033388
Newport News City,VA,189634.5305849611,215315.92143206848,256512.54291427185
Cass County,ND,261052.00531230247,273111.6948302705,302295.37455390464
Peoria County,IL,99356.12561331187,108767.49404875224,125048.96955329728
Boone County,MO,206533.2438060393,236414.38907744875,281989.7030710673
Kanawha County,WV,104048.02796237868,115018.77123854152,133101.69922305693
Shasta County,CA,285405.105748174,332141.192025564,359320.37070678506
Ulster County,NY,245285.6783341888,307337.6217121811,369096.03649551165
Medina County,OH,223105.4512291736,257502.4049770059,300380.39143868577
Bay County,FL,233106.4024484212,270737.96366639686,347569.5124216265
Kent County,DE,235795.6071699421,272615.7210477882,324404.50228500064
Imperial County,CA,256080.5641486593,284073.6816987084,322316.9064063532
Vanderburgh County,IN,129950.07165550278,147009.03435306126,170577.79394656813
Shawnee County,KS,130840.250148155,146596.45233390524,178159.1049439273
Licking County,OH,209145.59938102143,241596.76839939927,292797.3635506872
Johnson County,TX,234980.7847187596,272286.0360476127,327110.4346678572
Washington County,UT,350614.7899577445,442794.23361601407,510439.22491160687
Muskegon County,MI,152888.59506213755,181633.94784466995,209845.3070917476
Scott County,IA,172201.93853565177,185213.66826551667,206103.4602357241
Porter County,IN,223018.002555036,254491.68510676004,293827.391777616
Lee County,AL,228039.6671969342,252438.94502207343,294279.58729353105
Carroll County,MD,359499.54104446963,403516.3066812824,446472.71586228366
Hendricks County,IN,227717.2644971185,263841.5613987189,313859.8445999487
McLean County,IL,167094.1010747491,179726.405558599,213365.8963911892
Winnebago County,WI,191790.13760450124,216301.76656444787,251143.22349231303
Pitt County,NC,154821.47466446346,178644.7285336932,228783.0629970463
Guadalupe County,TX,243822.9469160754,278487.7891562953,326083.0117831538
Kent County,RI,262986.7099781736,303626.2601871515,360043.98234992946
Alamance County,NC,176413.213435756,204740.84010558287,264765.97082193993
Kenosha County,WI,207970.14965770184,233133.40081576665,264355.96992595884
Wyandotte County,KS,121290.8672864182,146085.23314236352,175218.35659737512
Kootenai County,ID,361025.4979634401,478385.1288562734,547383.2100186794
Kenton County,KY,185690.78368209107,211637.8782484857,244107.80937637843
Beaver County,PA,136848.28792978515,152118.29816049823,159869.8442934052
Monroe County,PA,180776.48298122,230544.0768438699,283525.0401875113
Aiken County,SC,167231.33039180914,186747.00575678688,210275.38893389268
Davidson County,NC,168404.27907153667,196085.85724408829,238249.23356772904
Pueblo County,CO,206278.1210253592,252300.7601378828,286189.41347485286
Chittenden County,VT,357344.6386397262,401914.49868082354,479555.2314640127
Greene County,OH,198009.9414834332,222788.923344928,254365.8518395668
Midland County,TX,287831.0383976446,283348.6796741527,293263.0488892419
Paulding County,GA,221557.2101558525,268158.83865930286,336758.0940708167
Charles County,MD,339857.98086162755,388201.0250978747,423989.6620933425
Maui County,HI,692616.2388527711,787164.1732894661,1001273.3758215724
Middlesex County,CT,268102.2264800416,308860.2274020752,371191.6241199858
Yellowstone County,MT,265938.85259419173,300043.70623923425,366562.3387089158
Rock County,WI,175934.08802105047,200935.1975316881,235741.9113924372
Portage County,OH,181526.05072087585,206033.019824486,233598.85289487764
Hampshire County,MA,296072.65581637406,332300.683638578,388540.0339044901
Ector County,TX,222807.5049624168,220234.73555279407,217283.01760392264
Houston County,GA,160827.86843937016,178257.67449024762,224934.6248279065
Dorchester County,SC,248800.30695162213,282235.9687259979,341914.4033370271
Rensselaer County,NY,205131.72374858067,231830.9100738241,265741.18662175734
Olmsted County,MN,252812.1202854004,283007.9468148222,315094.379667962
Jackson County,MI,155637.93129329535,176268.25500126756,193295.7130377419
Ouachita Parish,LA,140551.24023665872,146950.0489284696,162133.89885733582
Saint Clair County,MI,179205.69153464097,205286.1511533356,227176.65388749927
Johnson County,IN,203219.28814604672,238719.55935857844,283355.6820215083
Catawba County,NC,174709.9248244264,206500.13657643663,256376.7286421076
Centre County,PA,256262.572804936,277010.7146085937,309501.88345485664
