,RegionName,StateName,2000-mean,2001-mean,2002-mean,2003-mean,2004-mean,2005-mean,2006-mean,2007-mean,2008-mean,2009-mean,2010-mean,2011-mean,2012-mean,2013-mean,2014-mean,2015-mean,2016-mean,2017-mean,2018-mean,2019-mean,2020-mean,2021-mean,2022-mean,2023-mean,2024-mean
10,Queens County,NY,264297.10557266104,298045.2245461356,318480.01643543487,341580.62375884614,377896.9535612213,441835.8783843182,503988.98719279846,503289.6211688386,488622.1682786176,438304.8301848308,422347.8221332373,423364.9578641057,427685.51762066665,445956.9736888181,478140.9771184661,508000.6727784756,550755.2604242061,595235.0037582804,639582.7341434889,662277.3622053295,676888.0561308356,699083.796044313,728536.7204064914,694251.649073345,697215.8163022859
11,King County,WA,249603.9231679041,266226.64149548614,278034.2516214336,290714.2560155303,314559.0394155539,357489.1967484886,419434.2971102818,453931.5932153503,431595.7300029451,377184.46368406806,355635.3374195238,324641.3455898074,304084.604034109,337486.16910800355,370323.7057840256,409681.7981559574,468314.91934714006,532949.6888500503,602369.9748934637,596658.7320316598,628771.2445566555,727798.4377966771,835751.3054800127,793916.2449798109,829592.4671173875
12,Clark County,NV,154315.5574691786,163435.7724774745,173805.14785478162,187929.5831654345,238104.29350422695,306695.98612431413,326316.45951291634,312607.9040729899,240698.7434225177,165260.32983444174,138833.403598546,125808.25483120677,123420.759606792,154351.65291391863,183196.9299287148,196794.6303523392,210255.9303135051,231054.70952130968,266111.60923532426,286192.04473458225,295781.29078681435,341125.5854005269,415589.88265275065,399128.2550710577,419318.63019359246
13,San Bernardino County,CA,127801.70929672824,139998.94893779515,156953.12740643902,185146.7144880039,235002.9872638936,304624.92662574834,356974.589350993,355139.57919882913,272694.0675208798,187350.82133093575,177562.88608286597,171546.3954696926,166180.45641806908,196567.26112032635,237421.0595115159,256364.54995484476,271775.6144548831,299289.31206081447,335552.4541505609,347933.1673406805,368488.8139137397,438875.57161364943,511552.2611182811,511475.4675692606,537642.0889461277
14,Tarrant County,TX,112552.84625006533,113269.07626117462,115996.6767775642,119555.4145207233,126506.18608980566,131372.2782557573,134115.89308131207,136670.6035865432,132710.36031356378,129515.30586766986,129357.55477267833,123866.72186122365,123951.79564865546,131360.10096258714,141109.1065977083,153838.19675787663,171116.87117729822,189737.700667332,207832.13906911132,218179.01339877068,230248.97042881776,267163.2347259488,324190.55107354216,323712.1720324452,324102.40018877405
15,Bexar County,TX,100608.28702834982,98888.80918028454,99810.08222309554,102862.51715983285,110134.77157467788,116601.532747851,122073.90217042645,130717.7034218525,132715.02736069864,127628.43975901,126333.91177312768,121992.56546598028,122331.24621253616,127750.5913920564,136916.44536999555,147813.97039774724,159398.98261035126,170285.6106078811,180897.11803234916,188857.08446388508,199617.8616243899,227635.66357192345,265909.4078717196,267590.463738964,261174.1623691645
16,Santa Clara County,CA,401390.0463473767,485242.7012798527,480046.8111656842,491961.02156808105,538052.0822497043,637889.556746572,681997.3080918386,683090.9627744997,606528.0222341242,508893.2054761096,515386.8312078255,486047.8701897706,515974.5406639332,634228.1633939784,719868.451982021,824320.4385781372,883018.791603032,910222.0268202868,1122925.4492709062,1125250.0981312308,1141128.3143426876,1297768.9154972646,1484121.689248985,1417978.750923148,1552774.2738877365
17,Broward County,FL,100929.04918037352,114724.41233677464,133251.7062156841,150423.90960678647,175033.13454175752,217207.3848497032,260846.0618081432,258577.3385208512,205329.746131532,155040.71846271845,142245.15639209768,131810.32695953987,133927.3431797646,155702.868787081,179974.10976876246,198650.42846915303,215510.1348338012,236173.1547957534,256912.41950814417,269696.34518467373,283341.3772974073,321192.5750601257,387454.9285836145,418149.7248506946,437311.7035219946
18,Wayne County,MI,104972.61800075095,115987.8060528172,123196.05370067096,128952.94221826554,134386.17520513502,138702.81914970462,141057.2328002102,134977.51219247642,108516.26349196312,68344.55881297162,53721.0100753566,45979.54458612492,45819.06797963687,54479.05864312387,65328.85606314976,71986.05426557346,80532.77475165331,88428.49583701514,100489.52057283017,111799.72124194552,119202.2714274594,138224.8101967215,150735.80912620272,152778.71046787474,163034.97621012456
19,Alameda County,CA,293733.6837636988,357725.4804922417,382626.60903764,414994.9804799424,470739.77818198845,568665.5924489698,610091.4241872965,588560.9254500628,519149.79608496913,434124.3041255202,434452.019486737,401363.8952695155,386404.5649596303,471411.5659567026,551920.2329575184,628183.4057842892,699560.4521571273,746731.3041946689,833659.7333715936,834008.8345552863,851715.3216709876,992460.8712036862,1115141.8495568524,1047083.4429857696,1100090.1588380907
20,New York County,NY,391005.18974057207,464207.6696628826,529338.9747714301,605987.0458149589,718859.8425450763,855985.7529772789,972482.2261913768,942824.601669686,946334.171463646,933646.4165278254,871085.5146740745,920522.5799081617,952377.6149416384,1017643.4926809364,1159060.532492538,1246363.525974759,1307027.8086140563,1322500.5798005604,1364088.1324167363,1309086.112515106,1258010.9739332944,1279995.3634308183,1341230.2434029302,1152611.53137584,1099411.3201540986
21,Middlesex County,MA,256764.2964236472,299882.50465142203,334676.70751837216,367963.5282239677,394643.4730292659,421969.6946858447,416776.5469948716,398069.62366793846,380335.1914703517,364609.8184381435,370096.0481500809,361140.91096232086,358332.6421245602,384069.3481110591,413498.7781554212,439136.0898211694,469633.6624611472,501888.6297870309,536649.4993941927,547172.2396929214,568448.4600598603,630765.4931995556,687369.75567692,707781.4167076382,761723.1914839969
22,Philadelphia County,PA,61800.40519087976,65622.92010482354,69776.9195746696,76887.10635266958,87193.52650635508,104715.53509132937,121607.6438991686,128246.28520956408,127175.32065111716,121534.69850751752,121266.999508182,114191.03985139487,110198.0354257046,109995.21750492514,113390.47773222544,118571.05604278704,127804.7368296279,141760.7785173963,156030.7593028295,169680.69268789457,184930.20672009583,203709.4125369403,214270.46258013585,210519.65412319405,215181.25939861208
23,Sacramento County,CA,149303.9640208522,175853.79974353602,203551.26724772665,241780.57754947388,289301.8967711842,356945.29604566656,378537.6081582299,335821.3724694242,261225.61099162436,210169.82026126023,197144.42716729423,179512.44666281602,175012.694064557,220943.33881866085,260256.0585421105,280487.50989601354,308451.7382246878,336900.30399323924,365378.4036715712,377567.2362326181,401775.8216862054,474563.4186602262,536522.3965354149,508870.2856746155,524072.6079293288
24,Suffolk County,NY,196730.30964420343,229463.81033710588,268520.8785867109,320673.88913133874,367841.2483817451,420043.72963340994,456194.8829203586,450749.15333473583,426084.31881573657,393841.7464814896,385457.43353631446,372331.3771451168,357833.4448328779,359473.946959539,370450.6950057838,380770.9261443131,392613.700859524,409234.712340828,417894.3380874812,454016.9759116544,475659.25761212345,530852.7899812834,582435.0648982358,595037.4640263323,640999.3109262105
25,Palm Beach County,FL,124794.65900227564,134784.2199074815,151685.00943757454,173976.16313943683,205545.2732717657,258180.29906579643,306484.4237718592,282650.561142204,229344.2284182153,186355.6831029371,170694.86125519857,155961.50021159105,153019.00584808443,173593.7737692319,202577.97362131416,224484.8787473871,245859.5353809007,262979.8882585511,279513.9791514243,291103.0546974494,304526.0161974448,352942.5513581238,446889.0972237296,472172.6019571093,485636.31063519866
26,Bronx County,NY,222092.107269016,243433.27071406727,272381.31014929764,294651.45887884864,324451.9827392839,381529.0090758873,448517.0172403212,492075.4383963465,484221.8549268655,437641.1483985854,389684.38903460914,353391.3271980367,354535.2909638453,366119.75620305,383250.87441432994,403294.6163139674,439703.16010910977,472757.2791668361,505796.5903582517,536367.9087461481,533031.5008499898,539982.9353422571,509044.1433132536,452483.49590869294,452877.3170054229
27,Hillsborough County,FL,105641.24023672636,114761.96506724096,124142.46721328156,136019.3987006148,153754.57567406038,184042.99054678428,226345.29532087475,228638.6853518201,191138.9605251368,152361.94620600465,138193.90817261487,123897.86942866672,123281.62660070318,140810.9763427529,158470.74889327475,170663.1585296023,187508.21910103943,204573.6206653893,220507.26849590405,231066.17431583963,246279.20066649056,293254.7959334377,373410.6299504347,381537.8854810147,388106.5231595521
28,Orange County,FL,121542.89541715076,131182.40352247658,141639.42417317544,153504.10541865285,170862.02264447106,210007.5682706192,264761.7606535732,264923.77348368656,218124.62020238105,162516.59582558557,142045.34077200736,127099.68333433034,128056.92530117882,148500.90727423143,171737.7253610453,185307.39611416453,202252.32775976465,220555.40098105883,240184.2614058313,255417.8399463819,269718.20511426,306100.80369721755,375416.250247369,393210.2969675862,406391.3652699636
29,Nassau County,NY,261083.16223790665,291884.1947610479,328982.5634053161,381275.67850300326,430499.0471916844,484622.071007285,525012.7967944952,510551.93386279343,488235.45881056326,450193.7889649376,440597.8172089876,428167.1282949259,421641.7789798209,432957.5974934092,456294.3703910207,472412.9823993616,495919.437941561,524580.0403847584,555185.475864092,574318.95769922,596374.5018118954,644073.5597564266,690491.0476073393,706460.5241932728,761148.8381720796
30,Franklin County,OH,110814.14053411956,115505.50250291942,120370.0107845304,125851.24482011922,130227.99995366896,134767.73478199678,137285.58972493725,135672.24140943654,132562.70162946702,127124.22538503328,124465.63890368318,117144.72754840272,112311.9969536271,116272.6145709584,124337.64362027128,131649.90078318215,142816.32461188568,155948.44494832883,169305.42271054216,182004.6740082102,198174.9994000588,227864.8301296587,257458.9006153976,268620.3099500711,282545.2454804655
31,Oakland County,MI,179902.84313458437,191608.4783794101,199664.06279094535,205593.8575851737,211932.9351037078,216827.2870012815,216129.46489463717,201323.91154750396,176949.42800032394,150002.3433080136,136944.48899480645,132139.9265764505,137739.37742138698,160402.19499810826,182672.54314102387,194672.28744511455,205327.0492818257,219866.69392889552,235123.20547504304,244832.4573853451,253435.7229410436,284848.9821846894,312470.7336638098,318908.14355417364,334854.0085992203
32,Hennepin County,MN,150810.80347221423,172825.12647822793,192868.95873559895,211119.57457807407,228930.41939006912,245133.7414202869,252500.50308682665,248898.717143739,230407.7612215833,211546.9435420295,207405.36362237603,189459.6476529196,184070.19692892776,204843.80073590108,221257.84031479724,230593.43986709235,245060.18613317836,262936.09910699056,282485.51572419755,294168.06304541713,307723.1543939815,337992.0744998949,359027.3012835243,360197.0477616424,362817.7270798171
33,Travis County,TX,185670.68138314947,191169.393378192,190668.7224315144,189765.59027315184,192931.46123614625,199192.69207391024,204972.91509159224,214500.05396927317,219200.7645084688,210405.6685014538,207272.6862458908,201875.2081095584,207373.31322637168,230441.4760914292,258062.94528624637,285507.47112359863,307010.98215071857,321904.5013417341,334064.34387548314,346186.67128585785,375613.188784066,485655.1088022671,578814.2918945544,524302.9977123035,498067.62123143865
34,Cuyahoga County,OH,105879.11206424976,110538.35472566522,113879.7181833292,117765.35162313686,122737.18110717584,126707.95077544394,128967.3935811657,123872.92974804982,116293.5017411912,108217.3963828968,104832.51510994235,97294.50775448674,93375.6709206666,95891.14578192432,97203.73948740184,100930.21632805624,107823.0747753479,114692.04434606436,123219.145793399,131162.79689049892,138172.4767181743,158315.7271552685,173667.91487814876,181549.43098316895,195399.09547888103
35,Allegheny County,PA,83963.95302571858,87765.0210021427,92462.81111532389,96817.45161598855,99778.01931521988,104014.3501393801,107772.72628411038,109879.5965933895,111782.77161037477,110653.49199832985,116089.88137523353,114288.60813938084,115345.02048129943,117579.39978330278,121417.3883581593,126699.59622513012,133529.9001876498,140577.30654945527,149373.7126385798,157702.83506875564,168844.4194351067,192891.3462518433,205011.9635774678,207557.98049064868,217917.587222869
36,Salt Lake County,UT,180021.113405709,185314.2259115954,186644.8820162656,186459.14152723076,188325.13944558063,190142.04015814947,210668.39474245516,250901.75474743187,255474.21642415735,229001.565601861,214760.79848536855,196771.0558450355,199672.44527184492,226980.3740058008,242840.1839361319,256846.43389483207,281307.6490688994,305364.7735755312,333706.7826575243,356634.20661327225,388950.6430151577,474362.9448434611,550493.6451111434,533043.133034253,542592.2228578565
37,Contra Costa County,CA,278472.5177334423,321396.95567047823,361166.6718108736,409418.72903770185,492911.11481967336,600718.2892652279,652456.1597841993,592130.6279699507,464860.0769727814,336943.117599019,312596.716064218,286703.23729795247,295051.1639953325,368370.0706480607,435691.6405309303,479620.000557151,525792.4847610489,561576.0781882094,605046.4431623091,615662.9099575025,640926.5492301885,755169.5938323891,833804.4094387669,786567.3872196918,803734.5716537274
38,Fairfax County,VA,213138.97596520488,247441.7986001187,283974.3740853398,322214.4882180753,381305.6233169632,472179.5380794297,507614.9990905346,472887.66611356806,419047.4778496176,387454.7504040469,404708.57317281695,403570.818507384,427762.6443233091,465801.8680531772,489009.370858242,492401.22639695177,499456.9808276117,513336.5828374279,529907.8576697496,547693.5144727039,579098.2501523807,635363.982874927,679336.0696527328,687174.9495870065,731046.0492191714
39,Wake County,NC,188744.8950081952,194282.1386621243,197331.76424923155,199915.30059298244,204397.82370487743,212587.44966644823,225829.5663534304,239143.2471113614,239182.4679321097,230702.2600257718,226623.7230415728,216533.98624653745,212698.13817221523,221360.496790649,233968.30993441687,247475.4902875516,265698.33255808713,281296.7115968755,295181.8428310166,308438.25060478895,322830.33934664546,375414.4769250858,465455.8031617552,468033.271768226,481902.5775172568
40,Mecklenburg County,NC,156446.28001656677,161103.47102327822,163314.89401641654,164259.91546315153,166403.29819674947,170128.97284944588,177414.84751807156,187474.4441935512,189098.28381540827,176209.79618194068,167839.51642133234,154690.85282220042,152259.83529770616,162787.7365498731,175774.85000428325,186871.0735190629,203811.47233552032,222382.61706543877,241418.87895956027,254735.0686314575,272082.1917295117,324402.4190080722,392935.68249902927,398063.5949949743,413416.31025544857
41,Montgomery County,MD,224374.60034210145,252145.5107096412,291581.1754458286,341489.01475356205,398420.7876625215,474181.9473428339,526621.3123089597,516513.4830932929,456596.76829151646,400376.9869791758,398990.577577495,395768.4020189191,389057.9838517914,409339.7438543931,429551.5494257803,435323.58559342055,441955.6402496092,452484.3668768657,465356.1145371855,479768.8786036153,497735.8952940455,549823.4752700698,582415.9189651961,587629.4551860595,609996.1700265452
42,Fulton County,GA,171747.14295110005,185343.6075031368,194780.0613429844,200588.95640145967,206625.0254412722,216469.23455712336,225236.44562864827,232247.08570922108,220986.11131917336,192562.537340796,177980.80156678378,162125.48946656095,156905.17289543766,173761.06282230228,197807.12135351045,217769.24762637293,239828.4418668903,260459.8120071109,283068.02180099854,298785.08651401004,310538.72638329025,350675.10275175684,409018.9917514657,415835.5529251069,424728.7982762642
43,Collin County,TX,185756.6463716003,186215.4996132965,187922.304551704,190698.50419611725,196959.22407067416,202100.67859157288,206291.9264177058,209923.24594491732,207482.49432638605,203620.6888356311,203412.53287592836,198321.56088996492,202643.14450364705,219101.3066228826,242415.52521793687,271586.81396741007,297801.9514006817,318580.79687656165,328630.0910258959,328807.76255584764,337591.95073953626,397174.6920141631,499244.2079552845,505800.03128569,515576.4792236056
44,Pima County,AZ,121642.9679203818,127618.35183621,135531.1333934321,145887.20550794777,160013.69461651804,199239.9666633753,232731.15535277,230165.3950976428,205342.85401105948,179046.25592634527,164071.89031645955,144514.91714072903,142983.61239394886,158685.06163771145,168069.6106266858,172899.49619842504,180054.366139759,194094.30024270012,204808.07082077797,219543.0037959478,237705.31430976183,285761.3584212567,335538.25733123574,335988.366743442,345018.6776690104
45,Honolulu County,HI,227351.3183229623,236613.9499603776,252783.64453696425,288166.1754166078,345293.81883477594,427131.8366386021,505782.1252426444,519618.3031268401,513670.707430603,465706.8024574237,460269.1292645315,467692.7958491296,463846.47207714425,489182.4532788974,525987.9834123221,555707.871492897,588347.2184322093,626164.0327131558,656717.0415686342,662388.4234752933,672011.9344826484,745590.2630866173,860368.1106268144,847441.9184927447,851633.6183210906
46,Fresno County,CA,110465.312232683,116975.69070254944,132154.9554041508,160262.76169071585,199796.0788670728,254718.22787866343,295026.43463817943,283222.94710275426,228684.8475002252,174263.23976202097,164408.8295962126,145607.5041185867,145407.36973986973,166782.26010725964,188463.80377710063,200250.19383713865,215028.23576265265,232114.0409883292,253650.09352511083,266984.90488931007,280983.7414001801,327311.6089700944,377269.8532047301,376257.4222830156,392611.57637704327
47,Saint Louis County,MO,119040.37428035638,128404.97397784048,137594.28572186118,147122.1573498327,157101.2001339686,165939.42025684565,172578.985182797,173273.44096406217,166647.94034916177,159875.60161369454,154967.583739307,144073.33258699437,136632.34671298726,139699.80212570916,145718.30803779655,150683.62709061717,160235.6241028845,168408.80447329607,176891.18260353606,182760.00965097256,193463.78266300235,216607.6126572361,238728.1338339004,250928.8795249215,261528.60157125336
48,Westchester County,NY,303550.6507178369,343978.23769296065,390696.9452023169,442090.317896718,489541.9633505234,548690.1897523742,596901.5129563984,588700.4313393459,572739.4375159869,533438.0481091378,519728.4186051092,498165.7648340271,480578.2142375994,487551.5689917556,517933.245782364,533364.691622119,549556.5501083805,567471.9861071282,584555.2535686194,587969.0501780788,596991.0959970673,654083.071656296,705835.8791764434,729055.744819679,774948.2804764784
49,Duval County,FL,96772.99747349593,103609.42010210354,112002.00846178566,121721.98511139432,134930.7608393735,155100.95501126733,181440.16634838484,186141.56188102663,171037.45014188756,148534.52905757763,133413.45582099623,114704.64678553444,107303.10229863013,116939.31329548416,129866.94087527208,137451.5047478434,150309.63881712407,165134.20506707157,180508.6182130425,192990.5024075857,204450.94339121567,238541.2694246338,295368.8033407709,300048.45883668883,300878.4224592459
50,Marion County,IN,,,,82239.67421017557,83850.61599807501,89301.73838913342,92232.19925148344,93441.8538148877,92826.80719412227,90065.08985806089,91735.72249157516,85396.47257008134,84605.18229253234,86861.10391234988,93667.76271172264,99723.02983497012,105983.03122648376,115605.70751921165,127741.37325332464,138976.77259815583,152438.81343937988,179579.39915758683,208706.2472345353,215213.4795401452,220799.30669071924
51,Pinellas County,FL,101982.9321083118,112261.80038312402,125194.0652068152,140673.20081727387,159347.2994292016,193483.3894454036,227979.91853360608,218652.58545861687,182965.39311972613,151962.72980108942,141087.8402645259,124208.50219880218,122802.82842850436,138103.82452060556,152781.10458077554,167463.64681467877,187741.50786871533,206243.9251920485,223693.7395929529,238455.9250022336,257766.62938045515,304603.4443063961,375322.79885647725,388514.8615449409,395609.7317205556
52,Prince Georges County,MD,148221.46008927163,154417.05759044975,169875.91694837512,191124.57233363,221338.0225646901,277834.9745223475,339840.2622265304,356730.1413819748,319872.6268031377,250446.5495822776,214061.34251264748,198410.8129083181,193431.35300808636,211584.7868774203,236611.6673263664,254453.4352376441,273187.1316524109,290432.55877635995,304292.26251805725,317175.96648849896,337578.0960601762,380750.6025540394,403660.9273055647,407312.2639222233,416476.1927422036
53,Fairfield County,CT,268386.0099592609,298777.47798564204,332081.8093873311,376074.02979135024,420173.3443985229,473080.0060549818,498476.7525753183,485273.0707622951,461828.4711953981,417103.39827981946,397464.5697179809,374689.5437386673,367944.0574763876,377531.4713403585,391251.97004836216,396012.50193111337,400400.5312235877,407923.34653814114,411528.6153839047,409732.64862248354,420239.2563705333,483798.2811945153,536360.5197596112,567867.1759911512,618677.9212866334
54,Bergen County,NJ,246141.9353759222,271960.94482014404,305744.7277146987,349931.3864969583,394329.5835086678,452667.4354916301,491481.4154183763,482810.5469089959,457399.7654701104,431582.3603681666,423779.13341871,408117.4711714305,405557.4100809725,420496.0458075432,444343.14468239,454162.89124149486,467965.96263807634,483828.6979976167,497522.362989125,504023.4809811169,522394.940334897,573479.6491065278,613744.7058042852,637712.3682873636,687717.5424663645
55,Erie County,NY,88515.61665515369,88642.00527044386,92950.35794521571,97100.01161433411,103616.49240918776,108475.45886540606,114427.54181292978,118374.20548905984,120567.64768036328,121762.59271705852,123580.61827449604,122982.61308221216,122350.33795735949,126377.34973777714,131163.18700354334,135799.5192199686,142569.44249085477,151050.43404092707,162172.38668553863,170154.92294036926,181308.2073266577,208589.4346886703,233101.7433173677,244601.6048822922,260882.20958897888
56,Gwinnett County,GA,161987.5239738546,172319.77562466453,180397.68228240244,185326.6329553195,189406.40896903048,194940.72543541476,203108.93636268424,208339.14848464707,199356.93427248395,172903.30372211785,160504.29202220283,137922.2434224343,130129.1842936051,146977.88176219477,169829.50865623367,183085.4949098257,198715.1528111916,213229.8992610695,231295.0905332724,246186.3453291361,261359.1518885473,311714.21489989565,387350.7805531214,394158.7696895741,409702.5667282743
57,Milwaukee County,WI,98826.24381240147,105633.4205945225,113322.70368535467,123198.81511329745,135294.938675842,149567.51076121474,158432.9559418852,159609.6468339371,152506.89605372073,139111.9348763272,135821.9237382903,119498.49361905792,114593.14940004656,117564.953763759,123466.27266366658,126958.2570940879,133032.47889042262,141395.83691541725,151545.25507173795,162048.79116861406,174633.9108256406,200443.41880895407,217021.0042324635,234589.0064205546,252094.4342933421
58,DuPage County,IL,198414.60705729717,214744.80362721765,234085.95085818635,253504.3409467849,274135.0047033545,298962.26542242925,317748.86448518286,320099.39117659867,303668.0559327265,276172.0663028956,262271.00837367825,239636.06894947428,223634.05688061216,236366.29230642092,256899.8555667102,264651.7265831909,272454.2951727933,283558.11633599986,294498.6918027786,299142.7721018912,304794.6935845596,329551.85155826045,353468.26581886323,365704.672689141,392297.1537568551
59,Shelby County,TN,105433.81186094116,108112.05410030132,110002.6270063761,112006.21565074712,114256.26850183393,118290.13257389584,122697.6634066162,124013.915124547,113160.37484456477,102015.65570304402,97081.02096854916,90384.89128651388,90199.07689676578,91414.37515006529,99243.0293863656,103077.35648856428,108008.28626798304,116218.97919188224,126957.49532765412,137828.0245483258,151022.5094658622,178515.94831760626,210259.70243978864,212132.86046038847,211357.6474931098
60,Pierce County,WA,175694.52204877333,185061.48080028305,192346.1174688732,199695.7965423892,219540.2856276604,255689.5841167885,298269.12796617433,317540.4595042099,300139.7747819755,266017.8623860194,250229.97944231905,222886.36668336493,197429.0701982992,205445.3086846053,224436.0524560492,241939.0506083656,267634.8428011053,297487.4941025246,330537.2760990661,355006.8714486153,394577.6348676193,476521.4128497897,533229.3567064498,520243.1075820692,541611.9915976966
61,Kern County,CA,96067.75239253242,100103.06434239978,108542.90323589132,125192.6714585002,155244.30783126355,210179.26943523888,255981.9234626823,255194.6944166776,199099.8929304749,142630.61344324498,132040.25111014684,122005.64189655348,124740.86882436444,146926.68898156253,168693.5054509957,180635.15228960404,191359.5383957696,200461.22280339,213690.84847796315,225315.1975682377,240079.5006821041,279519.98658664816,324161.8172957287,330095.4502241277,348856.8179820976
62,Hartford County,CT,148026.15905063506,159218.9984411682,172897.2837443789,191547.37943204492,210343.4058535347,232480.10899385376,250690.9444223485,254315.27397382527,240868.57534445263,223979.9832429264,217005.3374005177,206590.44001773055,198778.37296975477,201324.33896494436,203456.3085354518,203609.147516954,206933.56608772124,212406.564833498,216276.19573604775,218318.6399767097,227969.53317146123,256208.4482904212,284354.87785855547,309022.6033472312,342005.15292015934
63,Denton County,TX,163594.51923507111,165195.76653267918,167244.65176965125,170915.05764385115,176205.9736347721,180042.56788745243,184548.34051747585,189519.55539521595,190317.1243303996,188052.00177071049,187920.97834761525,182161.21053603847,186516.8268199236,201885.575218324,219348.55854008903,241415.98264963023,265574.69612628367,285269.88803306967,299987.4491301354,303705.087912013,313970.71248274064,365304.56165779504,449481.7117315478,451985.18674125103,455752.346927218
64,Macomb County,MI,137093.6118716434,146280.50080912784,151920.0856754807,155543.8983145382,160713.42453341995,164612.86627757936,164638.1968493736,155565.11456949927,139254.97051295458,111620.2056343797,100538.80672366984,92944.2652681727,91887.4652048712,106334.980414124,123698.30170929384,132476.52664157277,142103.0619126962,154060.24968603646,165110.1442622198,175476.4679489467,183758.85556237784,209583.57163744545,230619.2758681489,237964.69656870255,249952.5036221534
