STATE,COUNTY,RISK_SCORE,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
AL,Autauga County,49.220489977728285,3.474777467e-05,82714025536.13885,29.621380846325167
AL,Baldwin County,97.70919503658924,0.002228838373062,218346770526.47223,92.65033407572383
AL,Barbour County,56.188355074769326,3.8252089048e-05,47496822332.79571,27.266942411708563
AL,Bibb County,32.48488705058861,4.0018023403e-05,25492152405.76869,15.049315940184538
AL,Blount County,65.12885777919185,3.5074085197e-05,36163360131.231606,19.630925867006045
AL,Bullock County,32.45307031498568,7.3634561394e-05,6483675637.225505,9.481387209672288
AL,Butler County,54.05663378937321,3.3767592262e-05,27345689572.625416,14.603881641743556
AL,Calhoun County,84.37798281896278,3.4484935445e-05,64800505311.89134,26.566974228444163
AL,Chambers County,42.348075087496014,0.000135346438668,18917619366.97023,29.335030225898823
AL,Cherokee County,42.06172446706968,3.0598175924e-05,12874766919.939756,4.67706013363029
AL,Chilton County,58.54279350938594,0.000120202739595,30213698080.562225,39.51638561883552
AL,Choctaw County,74.35571110404072,8.5654537214e-05,19142224158.638508,42.28444161629017
AL,Clarke County,72.0967228762329,0.000280011825753,20929747760.3976,48.87050588609609
AL,Clay County,22.36716512885778,0.000389307748929,11775305557.935192,46.134266624244354
AL,Cleburne County,22.55806554247534,0.000499349600617,12510741043.81058,47.1205854279351
AL,Coffee County,89.086859688196,2.0135199155e-05,154662142299.49374,48.552338530066805
AL,Colbert County,71.90582246261533,1.8515130913e-05,56723039782.57122,16.003818008272354
AL,Conecuh County,47.534202990773146,0.000707629274973,6440137201.454593,44.288895959274576
AL,Coosa County,7.508749602290806,0.000217041377855,7648557757.422208,26.75787464206173
AL,Covington County,88.70505886096086,0.000344256540523,26486688926.004364,50.97041043588928
AL,Crenshaw County,46.26153356665606,2.8548757241e-05,23580842301.44696,11.167674196627429
AL,Cullman County,69.64683423480751,2.5247177357e-05,65310675622.25835,20.48997772828508
AL,Dale County,79.66910594972956,1.3149872334e-05,166312150905.14432,35.69837734648425
AL,Dallas County,57.842825326121535,3.3613050998e-05,58522074872.52682,24.65797009226853
AL,DeKalb County,69.42411708558703,9.5432368021e-05,20732776503.574898,25.70792236716513
AL,Elmore County,57.27012408526885,5.3192235513e-05,82417765149.56444,33.82118994591155
AL,Escambia County,91.37766465160676,0.001833312644866,30656750159.635525,77.21921730830417
AL,Etowah County,82.24626153356665,2.5720561501e-05,59160248610.95069,17.849188673242125
AL,Fayette County,29.39866369710468,5.4236414696e-05,17528366865.020626,13.967546929685016
AL,Franklin County,65.47884187082406,6.3656313961e-05,29996926767.900517,20.235443843461663
AL,Geneva County,65.5424753420299,5.8492315273e-05,44414977610.30747,39.67546929685014
AL,Greene County,18.040089086859687,4.482573799e-05,13150595597.036057,11.1358574610245
AL,Hale County,33.15303849825008,9.2331234427e-05,17817159678.68123,20.044543429844097
AL,Henry County,49.88864142538976,1.8078806769e-05,54411595549.39149,17.117403754374802
AL,Houston County,90.67769646834232,1.4053634598e-05,362872969181.225,48.934139357301945
AL,Jackson County,69.93318485523386,6.2179482746e-05,13354402923.763708,15.940184537066497
AL,Jefferson County,96.46834234807508,1.2707777425e-05,785261861708.738,54.34298440979956
AL,Lamar County,29.68501431753102,1.6777861703e-05,34280500441.1828,11.804008908685969
AL,Lauderdale County,76.36016544702512,1.6103368992e-05,103503082739.60776,27.648743238943684
AL,Lawrence County,60.45179764556157,1.4997280192e-05,45498389156.35714,12.313076678332804
AL,Lee County,70.8240534521158,7.1338582166e-05,158520415581.3406,48.10690423162583
AL,Limestone County,73.59210944957046,1.0218073652e-05,341079943837.3704,38.6891504931594
AL,Lowndes County,26.50334075723831,3.3619708308e-05,20226601722.36008,12.026726057906458
AL,Macon County,20.99904549793192,8.0895005243e-05,13464583068.096603,25.230671333121222
AL,Madison County,91.28221444479796,1.0099634698e-05,875347428559.4691,54.279350938593694
AL,Marengo County,41.26630607699649,3.5123479752e-05,36295581697.9146,17.053770283168948
AL,Marion County,57.97009226853325,3.433982939e-05,24184569533.11959,14.858415526566974
AL,Marshall County,85.17340120903593,2.245222987e-05,60402854329.62656,21.03086223353484
AL,Mobile County,98.79096404708876,0.002546159533125,278205077857.8234,94.94113903913455
AL,Monroe County,58.892777601018125,0.000463502361708,11952589177.325865,40.62997136493796
AL,Montgomery County,86.25517021953547,5.6502381724e-05,219886924904.97763,45.0206808781419
AL,Morgan County,88.13235762010818,1.1609670274e-05,170733065495.61768,31.33948456888323
AL,Perry County,13.713013044861595,6.262617343e-05,9862992469.501616,5.886096086541521
AL,Pickens County,44.82978046452433,2.0426185792e-05,35225615674.31371,15.494750238625516
AL,Pike County,63.25167037861915,2.1559992519e-05,52315940721.88582,17.403754374801146
AL,Randolph County,29.462297168310528,0.000363857573119,15865547567.043793,45.75246579700922
AL,Russell County,39.26185173401209,4.3260611216e-05,103248042946.3658,30.79860006363347
AL,St. Clair County,70.79223671651289,1.6666745296e-05,106721259829.8492,21.826280623608017
AL,Shelby County,87.40057270124083,1.7197510291e-05,361770113748.3828,45.56156538339168
AL,Sumter County,51.065860642698055,6.9296954817e-05,18380418018.69192,24.117085587018767
AL,Talladega County,71.81037225580656,2.1933461009e-05,108033875968.8262,33.37575564747057
AL,Tallapoosa County,50.0477251034044,0.000179466987879,18612484961.73664,41.8390073178492
AL,Tuscaloosa County,87.11422208081451,4.3357298729e-05,166409242830.56628,40.15272033089405
AL,Walker County,73.33757556474706,6.1686901166e-05,28042428597.32696,27.17149220489977
AL,Washington County,58.001909004136174,0.001398040032536,15420478739.2787,66.05154311167675
AL,Wilcox County,23.003499840916323,4.1481802584e-05,24867512312.189217,17.276487432389438
AL,Winston County,44.00254533884824,5.9130521874e-05,11424956105.885414,19.56729239580019
AK,Aleutians East County,4.231625835189309,9.999999747e-06,9118559.875873,0.063633471205854
AK,Aleutians West County,35.22112631244034,0.0,0.0,0.0
AK,Anchorage County,94.8456888323258,0.000223332077587,335744296355.9029,78.61915367483296
AK,Bethel County,16.926503340757236,0.002228705677598,18985651429.69087,78.39643652561246
AK,Bristol Bay County,0.159083678014636,0.000390836785978,2746292069.8370986,40.2163538020999
AK,Chugach County,8.017817371937639,9.999999747e-06,11178881943.888643,1.240852688514158
AK,Copper River County,2.036271078587337,0.000764268855297,15905763092.842064,65.4152083996182
AK,Denali County,11.708558701877188,0.005286684099319,10211654907.161997,82.05536111994908
AK,Dillingham County,2.163538020999046,0.000263281321565,11886227749.149693,47.66146993318486
AK,Fairbanks North Star County,82.37352847597836,0.009973681395526,181364870444.27213,97.9000954502068
AK,Haines County,3.722558065542475,1.510534773e-05,2174154232.7574434,1.145402481705377
AK,Hoonah-Angoon County,4.708876869233217,9.999999747e-06,6031591934.43713,1.940820871778556
AK,Juneau County,19.75819280941776,1.0578885454e-05,68482793948.08096,17.531021317212854
AK,Kenai Peninsula County,90.96404708876868,0.00206117974035,297992852788.9347,97.32739420935413
AK,Ketchikan Gateway County,0.381800827235126,1.0026528256e-05,23268390742.634502,6.745147947820554
AK,Kodiak Island County,68.75596563792556,2.5073374797e-05,21031031207.32666,19.535475660197264
AK,Kusilvak County,3.277123767101495,0.000748194101932,7586273585.792144,49.57047406936048
AK,Lake and Peninsula County,1.654470251352211,0.000197591256097,4294477609.822413,37.19376391982183
AK,Matanuska-Susitna County,88.95959274578429,0.000445818687989,522258799956.1393,91.91854915685651
AK,Nome County,3.404390709513204,0.000302266000341,15035147562.674768,43.81164492523067
AK,North Slope County,8.940502704422526,7.321884326e-05,6927815240.169329,12.853961183582566
AK,Northwest Arctic County,2.068087814190264,0.001557236174872,6042618783.521928,65.16067451479478
AK,Petersburg County,0.44543429844098,1.0820481163e-05,7870829444.103889,2.354438434616609
AK,Prince of Wales-Hyder County,0.286350620426344,1.0060247986e-05,15634064912.35708,5.377028316894687
AK,Sitka County,18.485523385300667,9.999999747e-06,17955983274.623688,4.645243398027362
AK,Skagway County,1.463569837734648,0.000129094568598,854677746.3627121,1.813553929366847
AK,Southeast Fairbanks County,58.41552656697423,0.005902108232791,42316610394.00989,96.46834234807508
AK,Wrangell County,0.190900413617563,1.0269410417e-05,3283685626.6402454,0.66815144766147
AK,Yakutat County,2.608972319440026,1.0148039398e-05,2322959036.385116,0.795418390073178
AK,Yukon-Koyukuk County,45.052497613744826,0.007811820167335,15510933804.45742,90.6458797327394
AZ,Apache County,43.39802736239262,0.0015472540587,237846087654.478,90.96404708876868
AZ,Cochise County,85.87336939230033,0.008065916558297,95315554771.44408,97.04104358892778
AZ,Coconino County,90.23226216990136,0.008121409455394,312325692394.7789,99.3000318167356
AZ,Gila County,85.26885141584474,0.009853007544989,234945680993.7924,99.26821508113264
